Gurobi 9.1.2 (linux64) logging started Thu Mar  3 15:09:59 2022

Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (linux64)
Thread count: 12 physical cores, 24 logical processors, using up to 1 threads
Optimize a model with 26055 rows, 26055 columns and 300950 nonzeros
Model fingerprint: 0x1c494d55
Model has 263661 quadratic objective terms
Coefficient statistics:
  Matrix range     [4e-04, 1e+00]
  Objective range  [2e-23, 2e-03]
  QObjective range [1e-06, 3e-05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+00, 2e+00]
Presolve removed 6256 rows and 6256 columns
Presolve time: 3.11s
Presolved: 19799 rows, 19799 columns, 271432 nonzeros
Presolved model has 197838 quadratic objective terms

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.3938883e+01   0.000000e+00   6.381816e+02      3s
    3119    1.9685796e+01   0.000000e+00   6.013620e+02      5s
    9221    1.8662785e+01   0.000000e+00   1.424056e+04     13s
Warning: Markowitz tolerance tightened to 0.25
   10875    1.8662785e+01   0.000000e+00   1.027830e+05     18s
Warning: Markowitz tolerance tightened to 0.5
   12529    1.8662785e+01   0.000000e+00   1.435922e+05     24s
   13808    1.7281124e+01   0.000000e+00   1.516389e+03     30s
   14970    1.7280772e+01   0.000000e+00   1.299150e+03     35s
   15920    1.7281144e+01   0.000000e+00   1.632872e+03     43s
   16969    1.7280708e+01   0.000000e+00   1.029524e+03     48s
   17966    1.7280628e+01   0.000000e+00   1.967559e+03     54s
   18770    1.7280603e+01   0.000000e+00   1.836977e+03     62s
   19366    1.7280832e+01   0.000000e+00   1.961365e+03     71s
   20016    1.7280856e+01   0.000000e+00   2.641174e+03     80s
   20903    1.3697824e+01   0.000000e+00   5.469618e+02     89s
   21643    1.3697824e+01   0.000000e+00   6.182915e+02     97s
   22373    1.3697824e+01   0.000000e+00   7.829752e+02    105s
   23099    1.3697824e+01   0.000000e+00   1.057516e+03    114s
   23801    1.3697824e+01   0.000000e+00   1.177334e+03    120s
   24477    1.3697824e+01   0.000000e+00   1.237520e+03    127s
   25142    1.3697824e+01   0.000000e+00   6.195295e+02    133s
   25777    1.3697824e+01   0.000000e+00   9.293757e+02    140s
   26429    1.3697824e+01   0.000000e+00   9.116969e+02    148s
   27042    1.3697824e+01   0.000000e+00   7.706532e+02    156s
   27635    1.3697824e+01   0.000000e+00   1.566574e+03    164s
   28239    1.3697824e+01   0.000000e+00   9.079717e+02    173s
   28821    1.3697824e+01   0.000000e+00   9.687802e+02    182s
   29397    1.3697824e+01   0.000000e+00   1.213032e+03    190s
   29969    1.3697824e+01   0.000000e+00   1.389150e+03    197s
   30495    1.3697824e+01   0.000000e+00   1.416269e+03    206s
   31047    1.3697824e+01   0.000000e+00   1.185550e+03    215s
   31592    1.3697824e+01   0.000000e+00   6.600805e+02    223s
   32147    1.3697824e+01   0.000000e+00   1.154459e+03    231s
   32667    1.3697824e+01   0.000000e+00   1.735174e+03    240s
   33077    1.3697824e+01   0.000000e+00   2.098554e+03    250s
   33483    1.3697824e+01   0.000000e+00   3.328791e+03    262s
   33920    1.3697824e+01   0.000000e+00   1.927502e+03    274s
   34307    1.3697824e+01   0.000000e+00   3.001541e+03    285s
   34695    1.3697824e+01   0.000000e+00   3.792275e+03    297s
   35040    1.3697824e+01   0.000000e+00   2.357236e+03    309s
   35387    1.3697824e+01   0.000000e+00   4.192809e+03    322s
   35764    1.3697824e+01   0.000000e+00   2.625852e+03    334s
   36158    1.3697824e+01   0.000000e+00   1.388878e+03    346s
   36536    1.3697824e+01   0.000000e+00   1.531274e+03    359s
   36901    1.3697824e+01   0.000000e+00   3.713505e+03    372s
   37273    1.3697824e+01   0.000000e+00   3.150971e+03    385s
   37613    1.3697824e+01   0.000000e+00   3.460841e+03    399s
   37979    1.3697824e+01   0.000000e+00   3.988514e+03    412s
   38333    1.3697824e+01   0.000000e+00   5.030742e+03    426s
   38695    1.3697824e+01   0.000000e+00   5.042637e+03    439s
   39074    1.3697824e+01   0.000000e+00   2.966538e+03    453s
   39444    1.3697824e+01   0.000000e+00   1.358490e+03    467s
   39542    7.2598633e+00   0.000000e+00   0.000000e+00    506s

Solved in 39542 iterations and 505.83 seconds
Optimal objective  7.259863287e+00
