Gurobi 9.1.2 (linux64) logging started Thu Mar  3 14:42:23 2022

Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (linux64)
Thread count: 12 physical cores, 24 logical processors, using up to 1 threads
Optimize a model with 20895 rows, 20895 columns and 240810 nonzeros
Model fingerprint: 0x3a26eacd
Model has 211121 quadratic objective terms
Coefficient statistics:
  Matrix range     [4e-04, 1e+00]
  Objective range  [1e-37, 2e-03]
  QObjective range [2e-06, 4e-05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+00, 2e+00]
Presolve removed 5056 rows and 5056 columns
Presolve time: 2.23s
Presolved: 15839 rows, 15839 columns, 216892 nonzeros
Presolved model has 158018 quadratic objective terms

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.3900950e+01   0.000000e+00   6.239789e+02      2s
Warning: Markowitz tolerance tightened to 0.125
    5287    2.3900950e+01   0.000000e+00   4.682266e+04      7s
Warning: Markowitz tolerance tightened to 0.5
    8004    2.2290258e+01   0.000000e+00   4.196164e+04     15s
   10306    2.2290371e+01   0.000000e+00   6.370751e+05     23s
   11256    2.2290371e+01   0.000000e+00   1.114180e+06     28s
   11991    2.2290374e+01   0.000000e+00   9.935721e+05     33s
   12111    2.2290377e+01   0.000000e+00   1.684383e+06     36s
   12591    1.8532878e+01   0.000000e+00   5.974848e+02     41s
   12911    1.7462744e+01   0.000000e+00   4.792874e+02     45s
   13391    1.7462744e+01   0.000000e+00   6.061826e+02     50s
   13871    1.7462744e+01   0.000000e+00   6.670504e+02     55s
   14351    1.7462744e+01   0.000000e+00   6.647325e+02     60s
   14831    1.7462744e+01   0.000000e+00   8.991199e+02     66s
   15311    1.7462744e+01   0.000000e+00   8.349307e+02     71s
   15631    1.7462744e+01   0.000000e+00   7.224148e+02     76s
   16111    1.7462744e+01   0.000000e+00   8.355247e+02     81s
   16431    1.7462744e+01   0.000000e+00   6.684010e+02     86s
   16911    1.7462744e+01   0.000000e+00   8.012724e+02     92s
   17231    1.7462744e+01   0.000000e+00   8.578891e+02     96s
   17551    1.7462744e+01   0.000000e+00   8.858219e+02    101s
   17871    1.7462744e+01   0.000000e+00   7.701015e+02    105s
   18191    1.7462744e+01   0.000000e+00   7.523496e+02    110s
   18511    1.7462744e+01   0.000000e+00   7.612419e+02    115s
   18991    1.7462744e+01   0.000000e+00   1.010623e+03    122s
   19151    1.7462744e+01   0.000000e+00   8.367874e+02    125s
   19471    1.7462744e+01   0.000000e+00   9.050918e+02    130s
   19791    1.7462744e+01   0.000000e+00   7.878849e+02    136s
   20111    1.7462744e+01   0.000000e+00   7.751893e+02    141s
   20431    1.7462744e+01   0.000000e+00   7.708962e+02    147s
   20591    1.7462744e+01   0.000000e+00   1.207738e+03    150s
   20911    1.7462744e+01   0.000000e+00   1.008241e+03    156s
   21231    1.7462744e+01   0.000000e+00   9.851366e+02    162s
   21391    1.7462744e+01   0.000000e+00   9.070414e+02    165s
   21711    1.7462744e+01   0.000000e+00   9.117149e+02    171s
   22031    1.7462744e+01   0.000000e+00   9.135576e+02    177s
   22191    1.7462744e+01   0.000000e+00   1.008107e+03    180s
   22511    1.7462744e+01   0.000000e+00   1.115816e+03    187s
   22831    1.7462744e+01   0.000000e+00   1.151454e+03    193s
   22991    1.7462744e+01   0.000000e+00   8.863515e+02    196s
   23311    1.7462744e+01   0.000000e+00   8.834246e+02    203s
   23471    1.7462744e+01   0.000000e+00   1.152755e+03    206s
   23791    1.7462744e+01   0.000000e+00   1.164299e+03    214s
   23951    1.7462744e+01   0.000000e+00   9.994076e+02    217s
   24111    1.7462744e+01   0.000000e+00   1.198326e+03    221s
   24271    1.7462744e+01   0.000000e+00   1.309315e+03    225s
   24591    1.7462744e+01   0.000000e+00   2.340348e+03    233s
   24751    1.7462744e+01   0.000000e+00   1.456257e+03    238s
   24911    1.7462744e+01   0.000000e+00   1.401193e+03    242s
   25071    1.7462744e+01   0.000000e+00   1.471930e+03    247s
   25231    1.7462744e+01   0.000000e+00   1.513954e+03    252s
   25391    1.7462744e+01   0.000000e+00   2.229896e+03    256s
   25551    1.7462744e+01   0.000000e+00   2.412860e+03    261s
   25711    1.7462744e+01   0.000000e+00   1.450528e+03    265s
   26031    1.7462744e+01   0.000000e+00   2.224672e+03    274s
   26191    1.7462744e+01   0.000000e+00   1.576674e+03    280s
   26351    1.7462744e+01   0.000000e+00   1.661041e+03    285s
   26511    1.7462744e+01   0.000000e+00   5.741595e+02    293s
   26671    1.7462744e+01   0.000000e+00   2.338091e+03    297s
   26831    1.7462744e+01   0.000000e+00   1.736106e+03    302s
   26991    1.7462744e+01   0.000000e+00   3.145274e+03    307s
   27151    1.7462744e+01   0.000000e+00   6.079769e+02    313s
   27311    1.7462744e+01   0.000000e+00   7.070116e+02    318s
   27471    1.7462744e+01   0.000000e+00   6.796395e+02    324s
   27631    1.1661660e+01   0.000000e+00   3.293853e+02    331s
   27791    1.1661655e+01   0.000000e+00   2.974126e+02    336s
   27951    1.1661669e+01   0.000000e+00   3.773457e+02    343s
   28111    1.1661621e+01   0.000000e+00   3.177058e+02    349s
   28271    1.1661618e+01   0.000000e+00   3.776815e+02    356s
   28431    1.1661617e+01   0.000000e+00   2.893595e+02    362s
   28591    1.1661616e+01   0.000000e+00   3.541354e+02    369s
   28751    1.1661595e+01   0.000000e+00   4.191365e+02    375s
   28911    1.1661598e+01   0.000000e+00   4.590610e+02    382s
   29071    1.1661602e+01   0.000000e+00   3.024456e+02    389s
   29231    1.1661584e+01   0.000000e+00   3.315793e+02    395s
   29391    1.1661587e+01   0.000000e+00   3.320425e+02    402s
   29551    1.1661566e+01   0.000000e+00   3.877355e+02    408s
   29711    1.1661564e+01   0.000000e+00   5.470479e+02    415s
   29871    1.1661556e+01   0.000000e+00   4.032297e+02    422s
   30031    1.1661561e+01   0.000000e+00   4.427573e+02    429s
   30191    1.1661551e+01   0.000000e+00   8.795279e+02    437s
   30351    1.1661547e+01   0.000000e+00   4.922573e+02    444s
   30511    1.1661553e+01   0.000000e+00   5.214209e+02    450s
   30671    1.1661544e+01   0.000000e+00   6.409428e+02    457s
   30831    1.1661544e+01   0.000000e+00   8.760096e+02    464s
   30991    1.1661540e+01   0.000000e+00   5.615457e+02    471s
   31151    1.1661541e+01   0.000000e+00   7.982441e+02    478s
   31311    1.1661593e+01   0.000000e+00   1.492088e+03    486s
   31471    1.1661558e+01   0.000000e+00   1.053882e+03    493s
   31631    7.3495298e+00   0.000000e+00   1.874889e-01    502s
   31645    7.3315640e+00   0.000000e+00   0.000000e+00    541s

Solved in 31645 iterations and 541.46 seconds
Optimal objective  7.331563972e+00
