Gurobi 9.1.2 (linux64) logging started Fri Mar  4 21:12:47 2022

Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (linux64)
Thread count: 12 physical cores, 24 logical processors, using up to 1 threads
Optimize a model with 44740 rows, 44740 columns and 550635 nonzeros
Model fingerprint: 0xb6ac0efd
Model has 461881 quadratic objective terms
Variable types: 44640 continuous, 100 integer (100 binary)
Coefficient statistics:
  Matrix range     [2e-04, 1e+00]
  Objective range  [8e-24, 1e-03]
  QObjective range [7e-07, 2e-05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+00, 2e+00]
Found heuristic solution: objective 24.0920649
Presolve removed 8441 rows and 8441 columns
Presolve time: 2.25s
Presolved: 36299 rows, 36299 columns, 509217 nonzeros
Presolved model has 372223 quadratic objective terms
Variable types: 36199 continuous, 100 integer (100 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    2912    2.4092065e+01   0.000000e+00   6.344054e+03      5s
Warning: Markowitz tolerance tightened to 0.125
Warning: Markowitz tolerance tightened to 0.5
    7151    2.4092065e+01   0.000000e+00   6.180408e+04     13s
    8211    2.4092065e+01   0.000000e+00   2.699270e+05     15s
    9191    2.1491051e+01   0.000000e+00   7.601086e+02     21s
   10171    2.1560666e+01   0.000000e+00   3.930074e+04     26s
   10759    2.1560588e+01   0.000000e+00   6.105926e+04     31s
   11347    2.1560566e+01   0.000000e+00   9.546127e+04     35s
   12131    2.1560604e+01   0.000000e+00   2.072860e+05     41s
   12523    2.1560603e+01   0.000000e+00   2.800665e+05     45s
   12945    2.1560585e+01   0.000000e+00   2.883107e+05     50s
   13473    2.1560591e+01   0.000000e+00   5.045415e+05     55s
   13878    1.7981927e+01   0.000000e+00   4.671676e+02     63s
   14132    1.7981927e+01   0.000000e+00   5.075966e+02     67s
   14513    1.7981927e+01   0.000000e+00   7.610222e+02     71s
   14894    1.7981927e+01   0.000000e+00   6.861611e+02     76s
   15275    1.7981927e+01   0.000000e+00   1.538635e+03     81s
   15656    1.7981927e+01   0.000000e+00   8.064155e+02     86s
   16037    1.7981927e+01   0.000000e+00   1.153315e+03     91s
   16418    1.7981927e+01   0.000000e+00   8.076939e+02     96s
   16672    1.7981927e+01   0.000000e+00   7.777099e+02    100s
   17053    1.7981927e+01   0.000000e+00   1.849625e+03    105s
   17434    1.7981927e+01   0.000000e+00   9.542945e+02    111s
   17688    1.7981927e+01   0.000000e+00   8.917555e+02    115s
   18069    1.7981927e+01   0.000000e+00   1.735204e+03    121s
   18323    1.7981927e+01   0.000000e+00   1.379352e+03    125s
   18704    1.7981927e+01   0.000000e+00   8.897746e+02    132s
   18958    1.7981927e+01   0.000000e+00   8.865216e+02    137s
   19212    1.7981927e+01   0.000000e+00   8.722950e+02    141s
   19466    1.7981927e+01   0.000000e+00   1.040737e+03    146s
   19720    1.7981927e+01   0.000000e+00   1.190754e+03    150s
