Gurobi 9.1.2 (linux64) logging started Thu Mar  3 17:35:30 2022

Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (linux64)
Thread count: 12 physical cores, 24 logical processors, using up to 1 threads
Optimize a model with 44740 rows, 44740 columns and 550635 nonzeros
Model fingerprint: 0xc5f02746
Model has 461881 quadratic objective terms
Coefficient statistics:
  Matrix range     [2e-04, 1e+00]
  Objective range  [8e-24, 1e-03]
  QObjective range [7e-07, 2e-05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+00, 2e+00]
Presolve removed 8441 rows and 8441 columns (presolve time = 6s) ...
Presolve removed 8441 rows and 8441 columns
Presolve time: 6.46s
Presolved: 36299 rows, 36299 columns, 509817 nonzeros
Presolved model has 372223 quadratic objective terms

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.4092065e+01   0.000000e+00   6.443311e+02      7s
    4782    2.0466915e+01   0.000000e+00   7.437128e+02     12s
    6072    1.9236328e+01   0.000000e+00   5.186906e+02     17s
    8600    1.8777540e+01   0.000000e+00   1.323279e+03     23s
   11128    1.8777540e+01   0.000000e+00   3.529217e+03     29s
Warning: Markowitz tolerance tightened to 0.125
   13656    1.8777540e+01   0.000000e+00   2.224099e+04     39s
Warning: Markowitz tolerance tightened to 0.25
   16184    1.8777540e+01   0.000000e+00   3.882378e+04     54s
Warning: Markowitz tolerance tightened to 0.5
   18712    1.8777540e+01   0.000000e+00   1.241693e+05     70s
   21058    1.8070414e+01   0.000000e+00   1.886954e+03     87s
   22669    1.8069531e+01   0.000000e+00   1.159854e+03    106s
   24359    1.8070056e+01   0.000000e+00   1.003285e+03    121s
   25970    1.8069240e+01   0.000000e+00   1.472750e+03    136s
   27286    1.8069069e+01   0.000000e+00   1.713352e+03    159s
   28570    1.8068960e+01   0.000000e+00   1.549606e+03    181s
   30014    1.8068905e+01   0.000000e+00   1.419283e+03    201s
   31409    1.8068882e+01   0.000000e+00   1.131173e+03    219s
   32758    1.8068867e+01   0.000000e+00   2.021771e+03    239s
