Gurobi 9.1.2 (linux64) logging started Sat Mar  5 17:55:33 2022

Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (linux64)
Thread count: 12 physical cores, 24 logical processors, using up to 1 threads
Optimize a model with 44541 rows, 44641 columns and 549941 nonzeros
Model fingerprint: 0x443d76b3
Model has 461881 quadratic objective terms
Coefficient statistics:
  Matrix range     [2e-04, 1e+00]
  Objective range  [8e-24, 1e-03]
  QObjective range [7e-07, 2e-05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Presolve removed 8441 rows and 8441 columns
Presolve time: 4.43s
Presolved: 36100 rows, 36200 columns, 509123 nonzeros
Presolved model has 372223 quadratic objective terms

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.4092065e+01   0.000000e+00   6.443311e+02      4s
    2091    2.3360206e+01   0.000000e+00   7.693720e+02      5s
    5135    1.9807053e+01   0.000000e+00   5.355801e+02     13s
    5959    1.9236328e+01   0.000000e+00   5.306491e+02     17s
    6783    1.8777540e+01   0.000000e+00   5.255157e+02     20s
   10079    1.8777540e+01   0.000000e+00   1.563565e+03     26s
   11727    1.8777540e+01   0.000000e+00   2.346795e+03     33s
   12551    1.8777540e+01   0.000000e+00   3.272522e+03     37s
   13375    1.8777540e+01   0.000000e+00   5.788926e+03     41s
   15023    1.8777540e+01   0.000000e+00   7.157020e+03     49s
   15847    1.8777540e+01   0.000000e+00   1.590625e+04     55s
   16671    1.8777540e+01   0.000000e+00   2.487855e+04     61s
   17495    1.8777540e+01   0.000000e+00   3.456677e+04     69s
   18319    1.8777540e+01   0.000000e+00   4.490652e+04     76s
   19143    1.8777540e+01   0.000000e+00   7.012549e+04     83s
   19967    1.8777540e+01   0.000000e+00   1.292966e+05     90s
   20791    1.8777540e+01   0.000000e+00   9.271377e+04    102s
   20891    1.8777540e+01   0.000000e+00   1.399508e+05    105s
   21203    1.8777540e+01   0.000000e+00   2.810470e+05    113s
   21353    1.8777540e+01   0.000000e+00   3.760952e+05    117s
   21570    1.8777540e+01   0.000000e+00   8.009271e+05    122s
   21787    1.8351276e+01   0.000000e+00   1.605646e+05    127s
   22004    1.8351279e+01   0.000000e+00   3.818016e+05    132s
   22221    1.8351179e+01   0.000000e+00   1.368521e+05    137s
   22438    1.8351244e+01   0.000000e+00   5.121923e+05    143s
   22655    1.8351310e+01   0.000000e+00   2.159361e+05    147s
   22855    1.8351428e+01   0.000000e+00   4.910834e+05    154s
   23050    1.8351197e+01   0.000000e+00   1.457631e+06    162s
   23225    1.8351287e+01   0.000000e+00   3.305804e+05    167s
   23400    1.8351280e+01   0.000000e+00   6.844491e+05    172s
   23575    1.8351296e+01   0.000000e+00   5.465595e+05    177s
   23750    1.8351273e+01   0.000000e+00   1.471874e+06    182s
   23925    1.7705995e+01   0.000000e+00   3.006825e+05    187s
   24100    1.7706156e+01   0.000000e+00   6.142542e+05    193s
   24275    1.7705945e+01   0.000000e+00   6.373663e+05    198s
   24450    1.7706038e+01   0.000000e+00   8.030022e+05    202s
   24625    1.7706013e+01   0.000000e+00   6.382133e+05    208s
   24800    1.7705979e+01   0.000000e+00   8.825515e+05    213s
   24975    1.7705952e+01   0.000000e+00   5.133270e+05    219s
   25150    1.7706058e+01   0.000000e+00   1.129308e+06    224s
   25325    1.6965807e+01   0.000000e+00   6.322231e+05    229s
   25500    1.6965803e+01   0.000000e+00   9.199888e+05    234s
   25675    1.6965912e+01   0.000000e+00   4.708726e+05    239s
   25882    1.6965924e+01   0.000000e+00   1.346563e+06    249s
   26039    1.6211362e+01   0.000000e+00   5.928830e+05    255s
   26196    1.6211371e+01   0.000000e+00   8.971398e+05    260s
   26353    1.6211283e+01   0.000000e+00   4.328276e+05    266s
   26453    1.6211297e+01   0.000000e+00   4.145639e+05    272s
   26594    1.6211453e+01   0.000000e+00   8.802069e+05    277s
   26735    1.5499208e+01   0.000000e+00   4.370356e+05    283s
   26912    1.5499248e+01   0.000000e+00   5.760292e+05    293s
   27039    1.5499317e+01   0.000000e+00   4.404953e+05    299s
   27139    1.5499160e+01   0.000000e+00   6.315902e+05    304s
   27253    1.5499118e+01   0.000000e+00   5.692143e+05    309s
   27367    1.5499230e+01   0.000000e+00   6.874374e+05    315s
   27481    1.5499248e+01   0.000000e+00   5.120911e+05    321s
   27581    1.5499252e+01   0.000000e+00   4.100950e+05    326s
   27753    1.5499230e+01   0.000000e+00   6.063599e+05    341s
   27876    1.5499208e+01   0.000000e+00   1.346411e+06    352s
   27999    1.5499200e+01   0.000000e+00   3.088439e+05    362s
   28129    1.5499226e+01   0.000000e+00   1.243186e+06    374s
   28259    1.4871646e+01   0.000000e+00   3.784359e+05    384s
   28389    1.4871720e+01   0.000000e+00   4.269012e+05    394s
   28519    1.4871615e+01   0.000000e+00   3.788909e+05    404s
   28649    1.4871693e+01   0.000000e+00   4.218816e+05    415s
   28779    1.4871716e+01   0.000000e+00   6.554785e+05    426s
   28909    1.4019412e+01   0.000000e+00   2.133464e+05    436s
   29017    1.4019444e+01   0.000000e+00   1.371074e+05    447s
   29133    1.4019373e+01   0.000000e+00   1.831995e+05    457s
   29254    1.4019447e+01   0.000000e+00   5.737600e+05    473s
   29356    1.4019364e+01   0.000000e+00   5.462375e+05    484s
   29458    1.4019386e+01   0.000000e+00   7.522548e+05    495s
   29560    1.4019356e+01   0.000000e+00   9.593501e+05    505s
   29662    1.3501847e+01   0.000000e+00   3.579454e+02    517s
   29764    1.3501847e+01   0.000000e+00   3.759820e+02    530s
   29866    1.3501847e+01   0.000000e+00   4.020129e+02    542s
   29968    1.3501847e+01   0.000000e+00   5.100669e+02    555s
   30070    1.3501847e+01   0.000000e+00   4.440816e+02    568s
   30172    1.3501847e+01   0.000000e+00   6.240206e+02    580s
   30274    1.3501847e+01   0.000000e+00   5.503122e+02    593s
   30376    1.2639964e+01   0.000000e+00   3.382160e+02    606s
   30478    1.2639964e+01   0.000000e+00   3.598052e+02    619s
   30580    1.2639964e+01   0.000000e+00   4.224098e+02    631s
   30682    1.2639964e+01   0.000000e+00   4.212534e+02    644s
   30784    1.2639964e+01   0.000000e+00   3.983162e+02    658s
   30886    1.2639964e+01   0.000000e+00   5.417881e+02    672s
   30988    1.2639964e+01   0.000000e+00   4.808055e+02    685s
   31090    1.1771061e+01   0.000000e+00   3.174014e+02    699s
   31192    1.1771061e+01   0.000000e+00   3.548220e+02    712s
   31294    1.1771061e+01   0.000000e+00   3.678267e+02    725s
   31396    1.1771061e+01   0.000000e+00   4.632623e+02    740s
   31498    1.1771061e+01   0.000000e+00   5.104450e+02    753s
   31600    1.1771061e+01   0.000000e+00   5.887589e+02    767s
   31702    1.1771061e+01   0.000000e+00   6.660263e+02    781s
   31804    1.0915908e+01   0.000000e+00   2.996412e+02    795s
   31906    1.0915908e+01   0.000000e+00   3.129172e+02    808s
   32008    1.0915908e+01   0.000000e+00   3.434144e+02    822s
   32110    1.0915908e+01   0.000000e+00   3.850373e+02    836s
   32212    1.0915908e+01   0.000000e+00   3.570056e+02    849s
   32314    1.0915908e+01   0.000000e+00   5.357186e+02    865s
   32416    1.0915908e+01   0.000000e+00   7.077054e+02    878s
   32518    1.0095819e+01   0.000000e+00   2.808076e+02    894s
   32620    1.0095819e+01   0.000000e+00   3.338382e+02    908s
   32722    1.0095819e+01   0.000000e+00   3.849316e+02    922s
   32824    1.0095819e+01   0.000000e+00   4.695142e+02    937s
   32926    1.0095819e+01   0.000000e+00   6.581894e+02    953s
   33028    1.0095819e+01   0.000000e+00   7.255887e+02    968s
   33130    1.0095819e+01   0.000000e+00   7.391535e+02    985s
   33232    9.3321770e+00   0.000000e+00   2.613454e+02   1002s
   33334    9.3321770e+00   0.000000e+00   2.943607e+02   1018s
   33436    9.3321770e+00   0.000000e+00   3.521076e+02   1033s
   33538    9.3321770e+00   0.000000e+00   4.782866e+02   1048s
   33640    9.3321770e+00   0.000000e+00   5.802684e+02   1063s
   33742    9.3321770e+00   0.000000e+00   5.620739e+02   1079s
   33844    9.3321770e+00   0.000000e+00   7.301899e+02   1094s
   33946    8.6462814e+00   0.000000e+00   2.434955e+02   1110s
   34048    8.6462814e+00   0.000000e+00   2.671849e+02   1126s
   34150    8.6462814e+00   0.000000e+00   3.142157e+02   1141s
   34252    8.6462814e+00   0.000000e+00   3.816428e+02   1157s
   34354    8.6462814e+00   0.000000e+00   4.164755e+02   1174s
   34456    8.6462814e+00   0.000000e+00   4.866492e+02   1191s
   34558    8.6462814e+00   0.000000e+00   6.737930e+02   1206s
   34660    8.6462814e+00   0.000000e+00   1.533313e+03   1223s
   34762    8.0586857e+00   0.000000e+00   2.493567e+02   1239s
   34864    8.0586857e+00   0.000000e+00   3.068327e+02   1255s
   34966    8.0586857e+00   0.000000e+00   3.349159e+02   1271s
   35068    8.0586857e+00   0.000000e+00   4.611582e+02   1287s
   35170    8.0586857e+00   0.000000e+00   4.410064e+02   1304s
   35272    8.0586857e+00   0.000000e+00   5.516815e+02   1320s
   35374    8.0586857e+00   0.000000e+00   1.150660e+03   1336s
   35476    7.5887257e+00   0.000000e+00   2.327941e+02   1352s
   35578    7.5887257e+00   0.000000e+00   2.536713e+02   1367s
   35680    7.5887257e+00   0.000000e+00   2.813109e+02   1381s
   35782    7.5887257e+00   0.000000e+00   3.327993e+02   1397s
   35884    7.5887257e+00   0.000000e+00   3.558023e+02   1411s
   35986    7.5887257e+00   0.000000e+00   4.692064e+02   1426s
   36088    7.5887257e+00   0.000000e+00   6.152990e+02   1441s
   36190    7.5887257e+00   0.000000e+00   4.170121e+02   1457s
