Gurobi 9.1.2 (linux64) logging started Thu Mar  3 16:20:05 2022

Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (linux64)
Thread count: 12 physical cores, 24 logical processors, using up to 1 threads
Optimize a model with 27020 rows, 27020 columns and 330555 nonzeros
Model fingerprint: 0xb7a115e8
Model has 277801 quadratic objective terms
Coefficient statistics:
  Matrix range     [2e-04, 1e+00]
  Objective range  [2e-23, 2e-03]
  QObjective range [1e-06, 3e-05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+00, 2e+00]
Presolve removed 5241 rows and 5241 columns
Presolve time: 3.49s
Presolved: 21779 rows, 21779 columns, 304937 nonzeros
Presolved model has 222383 quadratic objective terms

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.3988805e+01   0.000000e+00   6.450856e+02      4s
    3600    2.0063500e+01   0.000000e+00   1.213364e+03      6s
Warning: Markowitz tolerance tightened to 0.125
    8904    1.9096504e+01   0.000000e+00   2.202452e+04     15s
Warning: Markowitz tolerance tightened to 0.25
   10672    1.9096504e+01   0.000000e+00   8.306789e+04     21s
   12440    1.7954045e+01   0.000000e+00   1.852872e+03     29s
   13719    1.7952567e+01   0.000000e+00   8.275859e+02     37s
   14926    1.7950393e+01   0.000000e+00   1.726160e+03     47s
   16106    1.7949693e+01   0.000000e+00   1.708570e+03     55s
   17040    1.7949544e+01   0.000000e+00   1.774607e+03     66s
   18114    1.7949395e+01   0.000000e+00   1.636525e+03     74s
   19152    1.7949377e+01   0.000000e+00   2.105648e+03     84s
   20149    1.7949336e+01   0.000000e+00   1.098257e+03     94s
   21038    1.7949332e+01   0.000000e+00   1.948579e+03    105s
   21877    1.7949326e+01   0.000000e+00   1.453435e+03    119s
   22667    1.3963827e+01   0.000000e+00   3.251017e+02    133s
   23263    1.3963827e+01   0.000000e+00   1.505311e+03    150s
   24065    1.3963827e+01   0.000000e+00   8.660602e+02    161s
   24805    1.3963827e+01   0.000000e+00   1.186161e+03    173s
   25525    1.3963827e+01   0.000000e+00   1.208529e+03    185s
   26221    1.3963827e+01   0.000000e+00   1.315759e+03    198s
   26903    1.3963827e+01   0.000000e+00   1.856683e+03    213s
   27579    1.3963827e+01   0.000000e+00   1.955942e+03    226s
   28269    1.3963827e+01   0.000000e+00   1.470340e+03    237s
   28919    1.3963827e+01   0.000000e+00   1.343736e+03    252s
   29519    1.3963827e+01   0.000000e+00   1.964642e+03    267s
   30181    1.3963827e+01   0.000000e+00   1.643794e+03    280s
   30831    1.3963827e+01   0.000000e+00   1.746649e+03    295s
   31452    1.3963827e+01   0.000000e+00   8.484521e+02    309s
   32031    1.3963827e+01   0.000000e+00   1.947799e+03    325s
   32595    1.3963827e+01   0.000000e+00   1.853378e+03    341s
   33168    1.3963827e+01   0.000000e+00   1.082577e+03    358s
   33737    1.3963827e+01   0.000000e+00   1.331200e+03    375s
   34336    1.3963827e+01   0.000000e+00   1.196231e+03    401s
   34922    1.3963827e+01   0.000000e+00   6.742500e+02    416s
   35497    1.3963827e+01   0.000000e+00   2.236361e+03    434s
   35999    1.3963827e+01   0.000000e+00   1.639617e+03    452s
   36527    1.3963827e+01   0.000000e+00   1.953828e+03    469s
   37023    1.3963827e+01   0.000000e+00   3.206162e+03    490s
   37577    1.3963827e+01   0.000000e+00   1.446361e+03    507s
   38125    1.3963827e+01   0.000000e+00   1.516443e+03    524s
   38643    1.3963827e+01   0.000000e+00   1.408485e+03    542s
   39167    1.3963827e+01   0.000000e+00   2.639914e+03    562s
   39696    1.3963827e+01   0.000000e+00   1.061054e+03    582s
   40225    1.3963827e+01   0.000000e+00   2.136806e+03    600s
   40719    1.3963827e+01   0.000000e+00   1.854807e+03    620s
   41175    1.3963827e+01   0.000000e+00   2.643030e+03    640s
   41699    1.3963827e+01   0.000000e+00   3.113628e+03    660s
   42095    1.3963827e+01   0.000000e+00   3.168125e+03    682s
   42491    1.3963827e+01   0.000000e+00   5.311619e+03    706s
   42893    1.3963827e+01   0.000000e+00   7.049782e+03    731s
   43319    1.3963827e+01   0.000000e+00   1.590818e+04    755s
   43535    7.3821982e+00   0.000000e+00   0.000000e+00    780s
   43539    7.3822112e+00   0.000000e+00   0.000000e+00    821s

Solved in 43539 iterations and 820.58 seconds
Optimal objective  7.382211187e+00
