Gurobi 9.1.2 (linux64) logging started Thu Mar  3 16:52:13 2022

Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (linux64)
Thread count: 12 physical cores, 24 logical processors, using up to 1 threads
Optimize a model with 35880 rows, 35880 columns and 440595 nonzeros
Model fingerprint: 0xf27895e9
Model has 369841 quadratic objective terms
Coefficient statistics:
  Matrix range     [2e-04, 1e+00]
  Objective range  [5e-38, 1e-03]
  QObjective range [9e-07, 2e-05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+00, 2e+00]
Presolve removed 6841 rows and 6841 columns
Presolve time: 4.56s
Presolved: 29039 rows, 29039 columns, 407377 nonzeros
Presolved model has 297303 quadratic objective terms

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.4053889e+01   0.000000e+00   6.425827e+02      5s
    1894    2.4053889e+01   0.000000e+00   1.720455e+03      5s
Warning: Markowitz tolerance tightened to 0.25
    5980    2.4053889e+01   0.000000e+00   1.326670e+04     13s
    8142    2.4053889e+01   0.000000e+00   4.352654e+04     21s
   10304    2.4053889e+01   0.000000e+00   2.302748e+05     31s
Warning: Markowitz tolerance tightened to 0.5
   12424    2.4053889e+01   0.000000e+00   4.658406e+05     45s
   14122    2.2427627e+01   0.000000e+00   4.497570e+04     62s
   15835    2.2427609e+01   0.000000e+00   2.651247e+04     75s
   17406    2.2427643e+01   0.000000e+00   4.585541e+05     89s
   18856    2.2427642e+01   0.000000e+00   1.612484e+06    101s
   20214    2.2427653e+01   0.000000e+00   8.948612e+05    112s
   21499    2.2427643e+01   0.000000e+00   1.284222e+06    126s
   22734    1.8647257e+01   0.000000e+00   9.552372e+02    145s
   23687    1.6497145e+01   0.000000e+00   6.334184e+02    169s
   24698    1.6497145e+01   0.000000e+00   8.027242e+02    182s
   25706    1.6497145e+01   0.000000e+00   1.539734e+03    196s
   26712    1.6497145e+01   0.000000e+00   1.615707e+03    208s
   27654    1.6497145e+01   0.000000e+00   1.287633e+03    223s
   28618    1.6497145e+01   0.000000e+00   1.454535e+03    231s
   29520    1.6497145e+01   0.000000e+00   1.814294e+03    245s
   30412    1.6497145e+01   0.000000e+00   1.451806e+03    256s
   31312    1.6497145e+01   0.000000e+00   1.499285e+03    267s
   32148    1.6497145e+01   0.000000e+00   1.757709e+03    281s
   32978    1.6497145e+01   0.000000e+00   1.872371e+03    296s
   33808    1.6497145e+01   0.000000e+00   2.366727e+03    313s
   34585    1.6497145e+01   0.000000e+00   8.873397e+02    329s
   35396    1.6497145e+01   0.000000e+00   1.590066e+03    346s
   36190    1.6497145e+01   0.000000e+00   1.405189e+03    363s
   36888    1.6497145e+01   0.000000e+00   1.615019e+03    381s
   37683    1.6497145e+01   0.000000e+00   1.176324e+03    395s
   38402    1.6497145e+01   0.000000e+00   2.169312e+03    414s
   39068    1.6497145e+01   0.000000e+00   1.546249e+03    433s
   39832    1.6497145e+01   0.000000e+00   2.177300e+03    447s
   40482    1.6497145e+01   0.000000e+00   1.393446e+03    464s
   41226    1.6497145e+01   0.000000e+00   1.748817e+03    479s
   41946    1.6497145e+01   0.000000e+00   2.191670e+03    499s
   42563    1.6497145e+01   0.000000e+00   8.901924e+02    517s
   43202    1.6497145e+01   0.000000e+00   1.628416e+03    537s
   43884    1.6497145e+01   0.000000e+00   1.595346e+03    557s
   44490    1.6497145e+01   0.000000e+00   1.527399e+03    575s
   45080    1.6497145e+01   0.000000e+00   1.466754e+03    598s
   45755    1.6497145e+01   0.000000e+00   1.045324e+03    618s
   46439    1.6497145e+01   0.000000e+00   1.032824e+03    638s
   47016    1.6497145e+01   0.000000e+00   1.743200e+03    660s
   47562    1.6497145e+01   0.000000e+00   3.588121e+03    683s
   48062    1.6497145e+01   0.000000e+00   2.789778e+03    708s
   48560    1.6497145e+01   0.000000e+00   5.500490e+03    733s
   49044    1.6497145e+01   0.000000e+00   5.590919e+03    760s
   49520    1.6497145e+01   0.000000e+00   6.542511e+03    801s
   50120    1.1230159e+01   0.000000e+00   5.166060e+02    833s
   50551    1.1230189e+01   0.000000e+00   3.572342e+02    861s
   50983    1.1230136e+01   0.000000e+00   3.581299e+02    887s
   51420    1.1230127e+01   0.000000e+00   5.693348e+02    914s
   51847    1.1230135e+01   0.000000e+00   3.639525e+02    941s
   52244    1.1230109e+01   0.000000e+00   7.339092e+02    971s
   52672    1.1230111e+01   0.000000e+00   8.056336e+02    998s
   53058    1.1230095e+01   0.000000e+00   6.442948e+02   1027s
   53494    1.1230086e+01   0.000000e+00   1.070719e+03   1055s
   53921    1.1230094e+01   0.000000e+00   6.225208e+02   1083s
   54294    1.1230078e+01   0.000000e+00   1.026727e+03   1112s
   54677    1.1230074e+01   0.000000e+00   3.933537e+02   1141s
   55114    1.1230071e+01   0.000000e+00   1.362160e+03   1169s
   55534    1.1230076e+01   0.000000e+00   2.139539e+03   1199s
   55966    1.1230064e+01   0.000000e+00   1.337662e+03   1228s
   56344    1.1230060e+01   0.000000e+00   1.435271e+03   1260s
   56751    1.1230059e+01   0.000000e+00   1.115717e+03   1291s
   57173    1.1231038e+01   0.000000e+00   1.256170e+02   1322s
   57604    1.1230055e+01   0.000000e+00   3.893391e+03   1354s
   58044    7.3539847e+00   0.000000e+00   0.000000e+00   1386s
   58050    7.3596215e+00   0.000000e+00   0.000000e+00   1488s

Solved in 58050 iterations and 1487.92 seconds
Optimal objective  7.359621467e+00
