Gurobi 9.1.2 (linux64) logging started Fri Mar  4 19:04:44 2022

Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (linux64)
Thread count: 12 physical cores, 24 logical processors, using up to 1 threads
Optimize a model with 35721 rows, 35801 columns and 440041 nonzeros
Model fingerprint: 0xaecf1e8d
Model has 369841 quadratic objective terms
Coefficient statistics:
  Matrix range     [2e-04, 1e+00]
  Objective range  [5e-38, 1e-03]
  QObjective range [9e-07, 2e-05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Presolve removed 6841 rows and 6841 columns
Presolve time: 3.28s
Presolved: 28880 rows, 28960 columns, 406823 nonzeros
Presolved model has 297303 quadratic objective terms

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.4053889e+01   0.000000e+00   6.425827e+02      3s
    3469    2.4053889e+01   0.000000e+00   1.305519e+03      5s
    6353    2.4053889e+01   0.000000e+00   4.936580e+03     13s
    7074    2.4053889e+01   0.000000e+00   2.398959e+04     16s
    8516    2.4053889e+01   0.000000e+00   5.560589e+04     25s
    9237    2.4053889e+01   0.000000e+00   3.212640e+04     29s
    9958    2.4053889e+01   0.000000e+00   1.448007e+05     33s
   10679    2.4053889e+01   0.000000e+00   1.313986e+05     39s
   11400    2.4053889e+01   0.000000e+00   5.023912e+05     43s
   12121    2.4053889e+01   0.000000e+00   1.509066e+05     48s
   12842    2.4053889e+01   0.000000e+00   7.894474e+05     54s
   13563    2.3442119e+01   0.000000e+00   1.728787e+05     59s
   14113    2.3442650e+01   0.000000e+00   3.990614e+05     65s
   14354    2.3442295e+01   0.000000e+00   8.280942e+05     68s
   14595    2.3442304e+01   0.000000e+00   6.529676e+05     71s
   14962    2.3442322e+01   0.000000e+00   1.692775e+06     76s
   15179    2.2562664e+01   0.000000e+00   1.031739e+06     80s
   15424    2.2562382e+01   0.000000e+00   9.264231e+05     85s
   15814    2.2562415e+01   0.000000e+00   2.116526e+06     92s
   16009    2.1605768e+01   0.000000e+00   4.994740e+05     95s
   16284    2.1605762e+01   0.000000e+00   8.890465e+05    102s
   16459    2.1605552e+01   0.000000e+00   3.687761e+05    106s
   16809    2.0692420e+01   0.000000e+00   3.013922e+05    113s
   16984    2.0692519e+01   0.000000e+00   7.567565e+05    117s
   17159    2.0692350e+01   0.000000e+00   6.222019e+05    120s
   17470    2.0692397e+01   0.000000e+00   1.319586e+06    129s
   17611    2.0692366e+01   0.000000e+00   4.804368e+05    133s
   17752    2.0692434e+01   0.000000e+00   1.495367e+06    136s
   18034    1.9906466e+01   0.000000e+00   1.197096e+06    143s
   18175    1.9906410e+01   0.000000e+00   3.936408e+05    147s
   18457    1.9906547e+01   0.000000e+00   4.033552e+05    154s
   18598    1.9906457e+01   0.000000e+00   1.587246e+06    158s
   18739    1.9906571e+01   0.000000e+00   4.645036e+05    161s
   18880    1.8635605e+01   0.000000e+00   5.293239e+02    166s
